X1,X2,labels,IDs,Var5
0.937824957,5.729544216,PV/FS,469610831,
0.91869617,5.628726986,PV/FS,469614747,
-1.677964907,-1.535066907,spiny mouse,469661756,
4.646502915,1.078112357,spiny mouse,469704261,
-1.348040637,-1.430559861,spiny mouse,469720505,
2.820203822,-2.710191084,spiny mouse,469734859,
-4.856023727,-1.786377033,LS/Neurogliaform,469753383,
-1.683703376,-4.737135506,spiny mouse,469761118,
-1.008858858,-2.210851829,spiny mouse,469763389,
-2.906492059,-3.840577279,spiny mouse,469798159,
-1.619768648,-1.523026405,spiny mouse,469800845,
1.472516994,6.574870015,PV/FS,469801138,
1.084838113,6.223919593,PV/FS,469801569,
-1.482898522,-1.827552347,spiny mouse,469803003,
4.641263726,1.176143814,spiny mouse,469832490,
-1.291226198,-0.731135221,spiny mouse,469864405,
1.611426107,6.909881599,PV/FS,470062597,
-1.421225811,-2.001752362,spiny mouse,470098860,
-0.670220742,-1.307862225,SST/adap,470581375,
0.51947734,5.678003704,PV/FS,471077468,
1.516032303,7.162114863,PV/FS,471085676,
1.649525111,6.973635579,PV/FS,471087830,
0.43890505,-3.390690013,spiny mouse,471129934,
-0.074440062,-0.901974975,spiny mouse,471131311,
-3.485984813,-2.432627266,spiny mouse,471141261,
-1.989466839,-2.652534618,spiny mouse,471410185,
1.60854074,-1.548638882,spiny mouse,471758398,
-0.354863777,-4.295195869,spiny mouse,471767045,
-0.079208276,-2.811885885,spiny mouse,471786879,
2.962307599,-2.567843385,spiny mouse,471819401,
4.183841086,2.895530977,PV/FS,472517038,
3.754781762,2.519866897,SST/adap,473011949,
-2.194913699,-2.400242013,spiny mouse,473020156,
-2.77660211,-4.060329982,spiny mouse,473111617,
1.039100853,2.520300944,SST/adap,473540161,
0.858584432,2.788147051,SST/adap,473543792,
2.026156441,0.847412046,SST/adap,473564515,
2.590736659,1.374675659,SST/adap,473593847,
0.121928432,-1.052485142,spiny mouse,473601979,
4.677895313,1.003619498,spiny mouse,473611755,
4.527038231,2.266889415,SST/adap,473909767,
-4.794319635,-1.447612448,LS/Neurogliaform,473943881,
-0.66224921,1.340704125,IR/VIP,473974547,
-0.302403348,0.83133363,IR/VIP,474267418,
-4.517424456,-1.165111968,LS/Neurogliaform,474283475,
1.162678302,-2.710057675,IR/VIP,474637203,
0.595943433,-2.89684693,LS/Neurogliaform,474652473,
4.346656237,1.925771602,IR/VIP,474660482,
1.551005976,0.980821264,SST/adap,475029659,
2.954340533,-1.14717999,SST/adap,475047891,
0.753492352,1.731187712,SST/adap,475049291,
0.682087526,1.616221048,SST/adap,475057898,
0.804065893,1.778028925,SST/adap,475068599,
0.61594914,3.756261581,PV/FS,475132727,
0.965549954,-0.549500071,SST/adap,475202388,
1.243843753,-2.553944288,spiny mouse,475330208,
-2.144392632,-4.363103721,spiny mouse,475400072,
0.825600256,2.483624447,SST/adap,475465708,
1.257461048,7.004400091,PV/FS,475512108,
0.680263801,1.775814443,SST/adap,475517090,
1.67977702,1.040418172,SST/adap,475517157,
2.079267276,-0.009363072,SST/adap,475542743,
2.077933074,0.785158396,SST/adap,475542907,
0.211011132,5.951339285,PV/FS,475549284,
1.410322421,7.469236811,PV/FS,475549334,
1.44167346,6.344987315,PV/FS,475550148,
0.808603961,3.250513436,PV/FS,475580568,
-0.595537806,0.539689126,IR/VIP,475585413,
1.200721807,0.895346973,SST/adap,475585451,
4.062866501,2.54463893,SST/adap,475586130,
3.566372676,2.192214445,IR/VIP,475619045,
-0.817275271,0.169256336,LS/Neurogliaform,475619177,
-0.3109689,0.794923829,IR/VIP,475622680,
1.68370867,-0.944190591,IR/VIP,475622793,
4.379067234,1.996234331,IR/VIP,475625477,
2.068567182,0.56075865,SST/adap,475740357,
-1.997358829,-3.893450645,spiny mouse,475744706,
-2.43481023,-4.047826546,spiny mouse,475751758,
0.834519203,-2.581133316,spiny mouse,475838754,
-1.254189798,-1.002531455,spiny mouse,475848827,
-0.580703428,5.744979769,PV/FS,475888653,
0.170675244,6.187247618,PV/FS,475892238,
0.905783564,5.361366089,PV/FS,475895240,
-1.956555853,-4.733684446,spiny mouse,476048909,
0.472035342,-2.215286286,spiny mouse,476049169,
-1.078761135,-2.853023832,spiny mouse,476051620,
-0.838033658,-2.849911155,spiny mouse,476053392,
-1.055964291,-1.731523201,spiny mouse,476054829,
-1.712757493,-3.710885437,spiny mouse,476056333,
4.609836403,1.211650233,spiny mouse,476086391,
