IDs,X1,X2,labels
589000000,-37.808,26.87232,mouse
506000000,-36.7488,27.5793,mouse
486000000,-37.9993,27.42039,mouse
571000000,-32.3627,29.17687,mouse
325000000,-39.7801,30.32748,mouse
609000000,-32.1246,29.98277,mouse
486000000,-40.5043,28.96932,mouse
581000000,-31.4965,26.10753,mouse
324000000,-36.1048,28.47654,mouse
328000000,-35.875,29.41688,mouse
486000000,-39.4385,29.65665,mouse
502000000,-40.663,29.27975,mouse
580000000,-36.1025,28.61296,mouse
487000000,-39.4155,29.13191,mouse
570000000,-37.9392,30.63565,mouse
562000000,-31.5955,25.94923,mouse
486000000,-37.1897,26.65409,mouse
476000000,-33.8771,28.05014,mouse
483000000,-31.7238,30.04007,mouse
565000000,-35.6789,27.3221,mouse
528000000,-40.6186,29.57227,mouse
491000000,-35.2319,27.13384,mouse
562000000,-34.9665,28.35661,mouse
567000000,-35.2376,28.40845,mouse
324000000,-34.7112,28.5444,mouse
580000000,-31.7229,29.84516,mouse
587000000,-35.4827,25.92703,mouse
501000000,-39.2038,27.5592,mouse
474000000,-37.4681,27.0786,mouse
566000000,-35.5711,28.39021,mouse
319000000,-38.8288,26.73447,mouse
523000000,-40.684,29.41272,mouse
323000000,-32.5078,30.43123,mouse
503000000,-37.2313,27.01041,mouse
502000000,-39.034,27.09932,mouse
483000000,-31.7431,28.17825,mouse
514000000,-38.24,28.38584,mouse
573000000,-36.6671,27.19691,mouse
570000000,-34.1729,26.27896,mouse
569000000,-35.4376,27.38882,mouse
570000000,-32.7951,26.19991,mouse
510000000,-31.6104,29.88844,mouse
594000000,-35.1701,26.84392,mouse
502000000,-35.691,26.13565,mouse
486000000,-37.5792,27.14246,mouse
596000000,-31.4184,26.67699,mouse
510000000,-39.6362,27.48546,mouse
476000000,-38.4342,27.43183,mouse
475000000,-34.7106,28.66069,mouse
490000000,-37.6622,29.21163,mouse
525000000,-34.542,26.49726,mouse
585000000,-36.1576,28.04147,mouse
501000000,-32.1922,30.68717,mouse
576000000,-35.5661,28.37248,mouse
518000000,-38.9528,29.4988,mouse
530000000,-40.5967,29.37871,mouse
576000000,-35.1427,26.59138,mouse
481000000,-33.7739,26.60626,mouse
