ID,specimen,struct,transline,reporterStatus,AIr,AItau,AIrheobase,pyramidalID,dendrite_type,cortical_layer,acquireRes,Resistence,resistance_hd,resistance_ss,Vrest,time_constant,time_constant2,subamp,submin,rebound_slope,rebound_depolarization,sag,steadystate,sag_ratio,Vrest_sag_sweep,nb_rebound_sp,rheobaseLP,rate_1sRheobase,rate_750msRheobase,rate_500msRheobase,rate_250msRheobase,rate_100msRheobase,rate_50msRheobase,delayRheobase,burstRheobase,latencyRheobase,cv_ISIRheobase,adaptation1Rheobase,adaptation2Rheobase,peak_adaptation1Rheobase,peak_adaptation2Rheobase,peakLP,thresholdLP,half_width_threshold_peak,half_width_peak_trough,height_threshold_peak,height_peak_trough,peak_up_stroke,peak_down_stroke,peak_stroke_ratio,trough,fastTrough,slowTrough,fAHPamp,wf,maxFiringRate,mdn_insta_freq,rate_1sHero,rate_750msHero,rate_500msHero,rate_250msHero,rate_100msHero,rate_50msHero,burst_hero,delay_hero,latency_hero,hero_amp,access_resistance,temperature,cellList
M05_SM_A1_C01,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,S,4,0.1,222.78,442.5604236,396.2377907,-63.92756838,21.25,NaN,-70,-91.49,0,0.52,3.32,-88.17,1.04,-60.53944986,0,70,12,12,12,8,10,20,0.53,121.6,44.1,0.63,-0.06,0.24,1,0,13.52,-32.81,1,1,46.33,52.28,52.67,-41.71,-1.26,-38.76,4.6,5.7,NaN,0,12,NaN,8,10.66666667,16,20,10,20,49.85,0.510580035,29.3,90,0,0,
M05_SM_A1_C02,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,S,4,0.1,257.26,257.9089647,210.5325599,-73.24762826,17.3,NaN,-90,-98.39,0,1.37,4.51,-93.88,1.05,-73.34530572,0,90,4,5.333333333,8,4,10,20,0.2,161.4,30,0.44,-0.12,0.58,0.86,-0.05,37.84,-36.83,0.8,0.9,74.68,81.15,83.74,-66.9,-1.25,-43.3,2.6,2.6,NaN,0,4,7.639419404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,
M06_SM_A1_C01,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.1,NaN,636.7266118,336.9493834,-63.16064326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,30,3,4,6,12,30,40,0.46,28.1,12.9,0.07,NaN,NaN,0.83,NaN,15.81,-44.46,1.1,1.2,60.27,66.56,69.26,-47.66,-1.45,-50.75,5.1,5.4,NaN,0,3,35.58718861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,
M08_JS_A1_C01,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,277.32,304.4934234,210.7184081,-62.67081071,19.14,258.69,-90,-88.67,0,8.09,8.02,-80.65,1.1,-60.46168771,0,90,1,1.333333333,2,4,10,20,NaN,NaN,19.1,NaN,NaN,NaN,NaN,NaN,26.32,-36.46,0.5,0.65,62.78,87.17,133.29,-131.43,-1.01,-60.85,1.55,1.55,24.39,0,76,NaN,59,60,62,64,60,60,14.875,0.511729906,8.65,130,0,0,
M08_JS_A1_C02,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,327.68,430.9501535,385.0359662,-65.39447031,14.9,103.52,-70,-98.55,0,1.05,3.15,-95.4,1.03,-64.42871593,0,10,8,8,10,8,10,0,0.76,82.55,85.9,0.23,0.05,1.74,0.99,0,33.81,-44.1,0.6,0.7,77.91,99.9,170.56,-133.71,-1.28,-66.09,5.05,10.25,NaN,0,60,57.47126437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,
M08_JS_A1_C03,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,400.52,404.2801468,384.0090811,-61.0170862,14.38,161.25,-90,-96.31,0,2.36,2.35,-93.96,1.03,-60.51669467,0,70,7,9.333333333,14,28,50,60,0.33,16.8,7.8,0.25,0.06,1.92,0.91,-0.01,31.61,-46.03,0.6,0.65,77.64,89.29,167.84,-131.46,-1.28,-57.68,1.65,1.65,11.65,0,86,71.42857143,56,60,66,76,90,100,9,0.290149133,5.2,110,0,0,
M08_JS_A1_C06,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,NaN,355.075879,302.3415747,-66.62448701,NaN,NaN,-90,-99.39,0,5.14,6.25,-93.14,1.07,-63.33552681,0,90,18,24,30,36,40,60,0.36,17.93,12.35,0.27,0.05,5.07,0.86,0,19.63,-46.96,0.85,0.85,66.59,68.3,138.84,-79.19,-1.75,-48.67,1.8,1.8,1.71,0,29,31.84713376,22,29.33333333,34,40,50,60,10.525,0.27543036,8.8,110,0,0,
M08_JS_A1_C08,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,131.15,125.8263323,85.15508045,-77.44597634,9.1,269.13,-70,-85.95,0,1.22,2.75,-83.2,1.03,-76.96580383,0,250,1,1.333333333,2,4,10,20,NaN,NaN,25.9,NaN,NaN,NaN,NaN,NaN,35.54,-42.38,0.75,0.75,77.92,86.64,171.84,-104.05,-1.65,-51.1,1.75,16.05,NaN,0,5,NaN,4,5.333333333,8,16,40,60,16.575,0.438583271,9.7,370,0,0,
M08_JS_A1_C09,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,428.54,339.5877633,196.1774871,-57.62641333,38.43,149.98,-90,-100.83,0,3.08,10.72,-90.12,1.12,-58.47942783,0,10,4,5.333333333,8,8,10,0,0.57,132.58,78.85,0.09,0.01,1.04,0.92,-0.02,25.44,-37.78,0.8,0.9,63.22,81.06,134.69,-90.68,-1.49,-55.62,2.6,2.6,NaN,0,55,53.33333333,13,17.33333333,18,20,20,20,50.325,0.555076084,30.55,30,0,0,
M08_JS_A1_C10,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,236.28,232.0335427,154.7372057,-67.21010953,14.47,52,-110,-93.41,0,4.87,8.8,-84.61,1.1,-67.84488383,0,250,1,1.333333333,2,4,10,20,NaN,NaN,7.65,NaN,NaN,NaN,NaN,NaN,10.82,-36.13,0.4,0.5,46.95,64.16,96.98,-117.29,-0.83,-53.34,0.9,0.9,17.21,0,55,NaN,47,62.66666667,94,168,170,180,5.65,0.684106791,4.15,310,0,0,
