cellID,Species,Sex,Cortical area,Subject ID,Dendrite type,Cortical layer,AP halfwidth,AP amplitude,Resting potential,Rheobase,Resistance,Time Constant,Maximum firing rate,Median instantanous frequency,internalID
1485837,macaca fascicularis,NA,PFC,6893,S,5_6,1.6,54.71,-71.58,90,184.66,25.97,11,9.81,M05_MJ_A1_C04
9152516,macaca fascicularis,NA,PFC,6893,NA,NA,0.55,38.67,-63.62,110,451,16.8,100,125,M05_MW_A1_C04
2778861,macaca fascicularis,NA,PFC,6893,S,4,0.8,72.45,-73.35,90,241.98,12.8,22,21.74,M05_SM_A1_C02
3784873,macaca fascicularis,NA,PFC,6893,A,3,0.5,62.13,-56.05,130,292.23,15.97,142,135.14,M05_SM_A1_C03
3892931,macaca fascicularis,NA,PFC,6893,S,2,0.9,79.77,-68.11,370,54.88,14.8,1,NaN,M05_SM_A1_C13
8986433,macaca fascicularis,NA,PFC,8251,S,4,1.45,59.91,-51.36,150,244.15,148.03,17,15.85,M06_MW_A1_C01
2868180,macaca fascicularis,NA,PFC,8251,A,2,0.7,69.24,-64.27,30,435.3,17.2,12,9.48,M06_MW_A1_C04
9273185,macaca fascicularis,NA,PFC,8251,NA,NA,1,58.41,-62.61,30,396.95,9.53,5,88.11,M06_SM_A1_C01
8006568,macaca fascicularis,NA,PFC,8251,NA,NA,1,50.69,-57.26,30,394.98,18.47,1,476.19,M06_SM_A1_C07
9801830,macaca fascicularis,NA,PFC,8251,NA,NA,0.9,64.48,-51.52,10,885,15.5,42,285.71,M06_SM_A1_C09
4870626,macaca fascicularis,NA,PFC,8251,NA,NA,0.6,74.22,-59.01,40,258.36,12.87,8,130.72,M06_SM_A1_C12
1098558,macaca fascicularis,NA,PFC,8251,NA,NA,1.3,54.26,-49.8,100,178.7,10.13,1,NaN,M06_SM_A1_C14
6585335,macaca fascicularis,NA,PFC,8187,A,5_6,0.4,51.64,-51.12,150,309.59,15.95,37,130.72,M07_MW_A1_C01
6806172,macaca fascicularis,NA,PFC,2029,NA,3,0.5,61.25,-62.68,90,292.29,17.43,76,68.61,M08_JS_A1_C01
5636114,macaca fascicularis,NA,PFC,2029,NA,NA,0.55,78.52,-64.76,10,337.18,11.52,38,57.97,M08_JS_A1_C02
8379183,macaca fascicularis,NA,PFC,2029,NA,3,0.6,78.34,-60.79,70,396.93,13.48,86,71.17,M08_JS_A1_C03
9447731,macaca fascicularis,NA,PFC,2029,S,5_6,0.75,60.52,-51.48,50,567.16,23.93,12,78.43,M08_JS_A1_C04
6511525,macaca fascicularis,NA,PFC,2029,NA,NA,0.6,42.76,-50.71,110,391.14,15.1,2,121.21,M08_JS_A1_C05
6564213,macaca fascicularis,NA,IC,2029,NA,NA,0.85,63.39,-66.39,50,354.86,29.92,32,33.31,M08_JS_A1_C06
1651279,macaca fascicularis,NA,PFC,2029,A,5_6,0.7,54.84,-66.31,90,481.89,21.7,3,115.61,M08_JS_A1_C07
7017234,macaca fascicularis,NA,PFC,2029,S,4,0.7,77.58,-77.46,250,117.74,8.85,5,43.01,M08_JS_A1_C08
6085159,macaca fascicularis,NA,PFC,2029,A,5_6,0.75,62.59,-57.39,30,310.95,32.35,66,53.33,M08_JS_A1_C09
9788035,macaca fascicularis,NA,PFC,2029,NA,NA,0.35,46.51,-67.28,250,224.31,13.52,61,156.86,M08_JS_A1_C10
9813524,macaca fascicularis,NA,PFC,2029,NA,5_6,1.1,66.13,-64.45,10,223.69,9.55,4,70.3,M08_JS_A1_C12
7545103,macaca fascicularis,NA,PFC,2029,S,3,1.2,50.48,-70.03,130,479.48,14.18,2,25.46,M08_JS_A1_C13
3137898,macaca fascicularis,NA,PFC,2029,NA,NA,0.55,60.67,-73.03,70,403.37,20.28,108,92.17,M08_JS_A1_C14
2212063,macaca fascicularis,NA,PFC,2029,S,4,1,78.16,-68.02,110,137.08,27.33,2,13.74,M08_MW_A1_C01
4430784,macaca fascicularis,NA,PFC,2029,S,3,1.35,58.11,-67.3,50,181.02,21.47,23,20.19,M08_MW_A1_C02
9498134,macaca fascicularis,NA,PFC,2029,S,5_6,0.85,81.48,-72.92,30,300.65,14.82,56,47.39,M08_MW_A1_C03
3767213,macaca fascicularis,NA,PFC,2029,S,5_6,0.6,82.95,-69.49,150,110.88,12.47,1,NaN,M08_MW_A1_C05
3203383,macaca fascicularis,NA,PFC,2029,NA,NA,1.45,69.58,-58.43,30,251.4,36.87,9,10.36,M08_MW_A1_C06
3227452,macaca fascicularis,NA,IC,2029,S,3,0.85,69.4,-76.41,130,160.55,7.72,11,9.73,M08_MW_A1_C07
2947362,macaca fascicularis,NA,PFC,2029,A,4,0.55,59.24,-63.64,110,298.63,14.07,126,109.89,M08_SM_A1_C03
1584520,macaca fascicularis,NA,PFC,2029,S,5_6,1.1,65.31,-56.02,90,200.37,14.68,2,23.87,M08_SM_A1_C04
2883559,macaca fascicularis,NA,IC,2029,NA,NA,0.95,70.77,-68.65,130,132.53,15.32,1,NaN,M08_SM_A1_C07
5675998,macaca fascicularis,NA,PFC,2029,S,3,0.8,78.33,-71.05,70,134.43,14.5,23,20.18,M08_SM_A1_C09
9902142,macaca fascicularis,NA,PFC,3167,NA,NA,0.95,64.18,-71.28,20,301.8,10.22,44,43.38,M10_JS_A1_C02
6703581,macaca fascicularis,NA,PFC,3167,A,5_6,0.7,75.99,-64.56,20,412.07,16.87,109,85.84,M10_JS_A1_C03
9146485,macaca fascicularis,NA,PFC,3167,A,3,0.95,76.54,-84.79,180,585.13,25.25,44,42.11,M10_JS_A1_C04
6683254,macaca fascicularis,NA,PFC,3167,A,3,1.05,71.99,-75.39,60,204.33,9.53,9,60.24,M10_JS_A1_C05
2649538,macaca fascicularis,NA,PFC,3167,NA,NA,1.2,67.78,-76.51,160,166.51,17.45,2,17.09,M10_JS_A1_C07
5547184,macaca fascicularis,NA,PFC,3167,A,NA,1,56.79,-75.98,90,191.63,18.72,5,32.41,M10_JS_A1_C08
8286290,macaca fascicularis,NA,PFC,3167,NA,NA,0.4,59.33,-63,90,197.24,13.43,158,122.7,M10_JS_A1_C09
8325627,macaca fascicularis,NA,PFC,3167,NA,NA,1.2,84.99,-72.48,70,228.73,16.48,4,26.85,M10_JS_A1_C11
9971064,macaca fascicularis,NA,PFC,3167,A,4,0.35,43.91,-66.54,90,235.8,10.7,97,82.64,M10_JS_A1_C13
8247849,macaca fascicularis,NA,PFC,3167,S,NA,0.85,69.52,-75.4,90,188.09,13.33,8,15.96,M10_JS_A1_C14
7600953,macaca fascicularis,NA,PFC,3167,A,NA,0.65,63.42,-67.85,30,222.13,6.57,50,56.58,M10_JS_A1_C15
5579920,macaca fascicularis,NA,PFC,3167,NA,NA,0.95,77.88,-78.55,120,222.78,21.4,2,21.37,M10_JS_A1_C21
2516326,macaca fascicularis,NA,PFC,3167,NA,NA,0.45,63.17,-73.21,60,336.39,21.53,129,106.38,M10_JS_A1_C22
